disease,biomarker_disease_iris,role,cfde_disease,factor
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Abnormal hematopoiesis and cell cycle
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Absent myeloid progenitors
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Absent myeloid progenitors and megakaryocytes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Acute leukemia with myeloid hyperplasia
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,ALL with B-cell differentiation
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Arrested B-cell differentiation
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Arrested immature B cells
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Decreased early B-cell numbers
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Decreased early lymphoid cells
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Defective myeloid progenitors and regulators
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Defective T cells and thymocytes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Deficient myeloid progenitors and HSC
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Diminished progenitors across lineages
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Increased leukemia and tumors
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Increased leukemia with myeloid hyperplasia
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Megakaryocyte progenitors and leukemia risk
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Megakaryocyte regulation by Runx1
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Myeloid hyperplasia and stem changes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Reduced tumor-free survival and cancers
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,diagnostic,Acute lymphoblastic leukemia,Synaptic Signaling Program
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Abnormal hematopoiesis and cell cycle
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Absent myeloid progenitors
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Absent myeloid progenitors and megakaryocytes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Acute leukemia with myeloid hyperplasia
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,ALL with B-cell differentiation
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Arrested B-cell differentiation
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Arrested immature B cells
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Decreased early B-cell numbers
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Decreased early lymphoid cells
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Defective myeloid progenitors and regulators
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Defective T cells and thymocytes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Deficient myeloid progenitors and HSC
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Diminished progenitors across lineages
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Increased leukemia and tumors
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Increased leukemia with myeloid hyperplasia
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Megakaryocyte progenitors and leukemia risk
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Megakaryocyte regulation by Runx1
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Myeloid hyperplasia and stem changes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Reduced tumor-free survival and cancers
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,prognostic,Acute lymphoblastic leukemia,Synaptic Signaling Program
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Abnormal hematopoiesis and cell cycle
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Absent myeloid progenitors
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Absent myeloid progenitors and megakaryocytes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Acute leukemia with myeloid hyperplasia
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,ALL with B-cell differentiation
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Arrested B-cell differentiation
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Arrested immature B cells
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Decreased early B-cell numbers
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Decreased early lymphoid cells
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Defective myeloid progenitors and regulators
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Defective T cells and thymocytes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Deficient myeloid progenitors and HSC
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Diminished progenitors across lineages
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Increased leukemia and tumors
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Increased leukemia with myeloid hyperplasia
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Megakaryocyte progenitors and leukemia risk
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Megakaryocyte regulation by Runx1
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Myeloid hyperplasia and stem changes
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Reduced tumor-free survival and cancers
acute lymphoblastic leukemia,http://purl.obolibrary.org/obo/MONDO_0004967,risk,Acute lymphoblastic leukemia,Synaptic Signaling Program
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Abnormal erythropoiesis and anemia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Abnormal hematopoietic cell morphologies
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Abnormal hematopoietic differentiation
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Abnormal hematopoietic progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Abnormal myelopoiesis and progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Absent common myeloid progenitors
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Absent myeloid progenitors and hyperplasia
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Bone marrow progenitors and HSCs
acute myeloid leukemia,http://purl.obolibrary.org/obo/MONDO_0018874,diagnostic,Acute myeloid leukemia,Granulopoiesis and extramedullary hematopoiesis
